Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2022-11-29 20:49 UTC,N/A,false,N/A,
JavaScript Practice: Object-Oriented Programming,"Unlike class-based programming languages like Java, JavaScript is a prototype-based procedural language. This means it supports functional <em>and</em> object-oriented programming—with less rigid syntax, greater extensibility, and fewer rules. In this hands-on, interactive course, join instructor Emma Bostian to practice performing basic object-oriented programming tasks in JavaScript to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Emma helps you boost your skills as a JavaScript programmer with five specific, query-focused coding challenges. Practice creating a course roster with functions, a book function with Object.create(), a country with classes, a food ordering class with getters and setters, and a user/admin class with private properties.",Course,2024-06-15 00:41 UTC,N/A,false,N/A,
Audit and Due Diligence Foundations,"Audits are a critical part of finance, but they're not solely within the purview of CPAs. Audits and due diligence projects are supported by consultants, analysts, and finance professionals—and even by people who have little or no formal financial training. In this course, financial expert Jason Schenker helps to acquaint you with the fundamentals of audits and due diligence (DD) projects. Jason doesn't focus on the mathematical calculations that play a role in audits; instead, he provides a general overview of the processes involved. He explores the different kinds of audits—from internal and independent audits to the tax audits that are initiated by the government—and reviews key audit and DD processes. Plus, he shares best practices for auditing a company's financial data,  business processes, and assets ethically and effectively.",Course,2022-05-26 00:17 UTC,N/A,false,N/A,
Vibe Coding Common Web Patterns into Tailwind CSS,"With this course focused on integrating Generative AI with Tailwind CSS, Gary Kovar—a senior back-end developer and software engineer—dives into AI-enhanced web development. Find out how to transform wireframes into code within moments and master the nuances of utility-first frameworks. Discover how to streamline your development process. Learn the intricacies of AI tools like GitHub Copilot, and optimize your workflow by understanding and applying AI-generated code effectively. Use practical examples to understand how to manage and modify Tailwind CSS configurations, handle repetitive coding tasks, and ensure your code meets accessibility standards. Explore the intersection of code and AI, and observe how it opens up new possibilities for creating adaptable, efficient web layouts. Whether you're refining usability or bolstering performance, this course empowers you to leverage AI's potential in your development endeavors.",Course,2025-08-22 21:15 UTC,N/A,false,N/A,
Rhino: Modeling for 3D Printing,"Rhino is a powerful digital modeling tool for architects, engineers, and product designers. The surface modeling freedom Rhino allows can create complex designs that are not always the best for physical fabrication. To prepare a model for 3D printing, you need to create closed clean geometry. In this course, instructor Olivia Morgan covers good modeling techniques from start to finish, for 3D printing projects and other physical fabrication methods. She also offers tips you can use if anything goes wrong during the modeling process. These skills include boolean troubleshooting, repairing holes, and fixing “bad objects.” Finally, Olivia covers how to properly export your model for different 3D printers, using real world examples.",Course,2021-07-01 16:11 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2022-05-25 00:15 UTC,N/A,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2025-07-31 00:59 UTC,N/A,false,N/A,
Championing the Customer in Everything You Do,"<p>Most people agree that focusing on customers is extremely important, but how do you actually deliver an experience that customers will remember? This course, appropriate for every role, provides a relevant short introduction to customer experience (CX) and shows you why each person in an organization is an indispensable part of its success.</p><p>Explore how every department’s touch point affects customer perception to get a richer understanding of CX and its significance in modern business. Instructor Brad Cleveland gives an overview of the skills and know-how required to navigate the CX journey, drive team support and enterprise-wide collaboration, reflect and adapt, celebrate wins, and continuously improve. By the end of this course, you’ll be prepared to commit to proactive behaviors that consistently prioritize and enhance the customer experience across all interactions and functions.</p>",Course,2024-12-26 19:27 UTC,N/A,false,N/A,
Calling REST APIs with Java,"Get the information you need on several popular third-party REST APIs, including the Azure Cognitive Services API, the Twitter API, the Twilio API, and more. Instructor Kevin Bowersox shows you how to call these APIs, using various techniques available in Java. Kevin uses each chapter to focus on a specific third-party API and a specific Java tactic for calling the API. Within each chapter, he goes over the purpose of the API, its major resources, and its security scheme, then he provides hands-on lessons that demonstrate how to call the API. Kevin demonstrates how to interact with these APIs, so you can get hands-on experience working with real world APIs that will translate to other APIs that you can leverage in your professional development.",Course,2023-01-22 19:34 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-03-20 21:15 UTC,N/A,false,N/A,
Time Series Analysis and Forecasting with GPT-4o,"<p>One of the highlights of this course is that no coding is required. Now, you can communicate with GPT-4o using human language to analyze, forecast, and visualize time series data. Start with the essentials of what can be forecasted and dive deep into the components of time series data like trends, seasonality, cycles, and noise. Learn to decompose data using additive, multiplicative, and STL methods.</p><p>Discover how to analyze time series with autocorrelation and partial autocorrelation plots, assess stationarity using the ADF test, and transform non-stationary data. Advance to predictive modeling with ARIMA and exponential smoothing models, mastering hyperparameter tuning and model selection. By the end of this course, you’ll be equipped to predict tomorrow and prepare for the future with confidence.</p>",Course,2025-08-15 17:13 UTC,N/A,false,N/A,
Communicating with Empathy (2017),"When you seek to understand the perspective of another person, you are practicing empathy. When empathetic communication is encouraged at work, individuals feel more comfortable speaking openly, they feel like they matter, and they feel safe. That's why empathy at work is crucial to company-wide success. In this course, communication expert Sharon Steed explains the principles of empathetic communication and shares specific strategies to help improve your approach to difficult conversations. Get ready to learn how to converse empathetically to improve your one-on-one conversations and team interactions.",Course,2021-12-13 16:39 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2022-03-06 16:50 UTC,N/A,false,N/A,
Java Object-Oriented Programming,"<p>Are you familiar with Java but want to get the most out of your Java programs? In this course, Kathryn Hodge teaches the basics of object-oriented programming in Java, so you can write code that’s secure, scalable, and easier to troubleshoot. Kathryn begins by showing how object-oriented principles are embedded into the Java language from the first code file you create. She looks at how classes, instances, and constructors embody the idea of representing real-life objects in code. Kathryn not only shows how to apply object-oriented principles in your own programs, but also explains how Java leverages these principles behind the scenes. While many resources about object-oriented programming focus on abstract examples, the goal of this course is to get away from the abstract and focus more on practical examples of these principles in Java. Along with deep dives into the source code, this course also provides several challenges and solutions to help you apply what you’ve learned.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/java-foundations-professional-certificate-by-jetbrains"" target=""_blank"">Professional Certificate</a> from JetBrains.</p>",Course,2023-10-29 20:40 UTC,N/A,false,N/A,
Overcome Overthinking,"While the act of overthinking usually feels like work, it's more often the opposite. The more we delay action to get tangled in our own thoughts, the farther we get from our goals. In this course, explore tools, strategies, and activities that can help you stop the cycle of overthinking to start feeling happier and more productive.<br><br>Melody Wilding, the author of <i>Trust Yourself: Stop Overthinking and Channel Your Emotions for Success at Work</i>, goes over the most common types of overthinking and details how to tell the difference between deep thought and overthinking. She shares techniques for creating psychological distance from your thoughts and reframing how you look at situations. Plus, get tips for avoiding common pitfalls, including how to avoid overthinking when you're under pressure.",Course,2022-01-13 14:06 UTC,N/A,false,N/A,
Kubernetes: Provisioning with Terraform and kOps,"kOps is one of the easiest and most effective ways to get a Kubernetes cluster up and running. It can generate Terraform configurations, too, which can then be applied with the terraform plan and terraform apply tools. In this course, cloud and software consultant Carlos Nunez provides a focused reference describing how to provision and manage Kubernetes clusters with the integrated power of Terraform and kOps. Explore the challenges of installing Kubernetes and its prerequisites: Docker, kubectl, and Terraform. Along the way, Carlos gives detailed instructions for deploying Kubernetes into the cloud, including how to define AWS resources with Terraform, prepare AWS for kOps, correctly install kOps, create a cluster with kOps, apply the cluster configuration file for kOps, and perform smoke tests for quality assurance.",Course,2025-07-13 14:29 UTC,N/A,false,N/A,
